NTAName,GeoID,Borough,Pop,PopZ,PopY,PopX,PopBB,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
Tottenville-Charleston,SI0305,Staten Island,"16,674",3399.0,2490.0,5017.0,3661.0,"1,684",10.1,"14,414",86.4,20,0.1,310,1.9,177,1.1,69.0,0.4,118044.0,138481.0
Rikers Island,QN0151,Queens,"4,446",581.0,2345.0,1422.0,98.0,"1,172",26.4,"1,098",24.7,"2,000",45.0,123,2.8,30,0.7,23.0,0.5,,
Brooklyn Navy Yard,BK0261,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Fort Hamilton,BK1061,Brooklyn,997,339.0,167.0,287.0,27.0,74,7.4,550,55.2,237,23.8,87,8.7,29,2.9,20.0,2.0,129317.0,163490.0
Hutchinson Metro Center,BX1161,Bronx,517,10.0,94.0,200.0,110.0,145,28.0,174,33.7,166,32.1,32,6.2,0,,0.0,0.0,,
United Nations,MN0661,Manhattan,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Sunnyside Yards (North),QN0161,Queens,46,15.0,20.0,11.0,0.0,12,26.1,0,,28,60.9,4,8.7,2,4.3,0.0,0.0,174998.0,
Sunnyside Yards (South),QN0261,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Fort Totten,QN0761,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Fort Wadsworth,SI9561,Staten Island,595,59.0,265.0,77.0,4.0,148,24.9,266,44.7,114,19.2,27,4.5,34,5.7,6.0,1.0,80654.0,102489.0
The Evergreens Cemetery,BK0471,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Highland Park-Cypress Hills Cemeteries (South),BK0571,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Green-Wood Cemetery,BK0771,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Holy Cross Cemetery,BK1771,Brooklyn,22,0.0,12.0,0.0,0.0,17,77.3,0,,5,22.7,0,,0,,0.0,0.0,174998.0,
Hart Island,BX1071,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Woodlawn Cemetery,BX1271,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
St. Michael's Cemetery,QN0171,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
