County,License Number,Establishment Type,Entity Name,DBA Name,City,Zip Code,Georeference,Address,Normalized DBA Name,Is Chain Store,Is Grocery Store,Google Maps Link,Latitude,Longitude,Neighborhood
BRONX,747954,A,1160 TREMONT DISCOUNT CORP,1160 TREMONT DISCOUNT,BRONX,10460,POINT (-73.875241221 40.839739191),1160 E TREMONT AVENUE,1160 tremont discount,No,Yes,https://www.google.com/maps/search/?api=1&query=1160+TREMONT+DISCOUNT+1160+E+TREMONT+AVENUE+BRONX+,40.83973919,-73.87524122,West Farms
KINGS,747956,AC,105 MOAID DELI & GROCERY INC.,105 MOAID DELI & GROCERY,BROOKLYN,11235,POINT (-73.95745034 40.580073823),105 BRIGHTON 11TH STREET,105 moaid deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=105+MOAID+DELI+&+GROCERY+105+BRIGHTON+11TH+STREET+BROOKLYN+,40.58007382,-73.95745034,Brighton Beach
NEW YORK,620432,AC,GRAY&WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKETS,NEW YORK,10017,POINT (-73.968988449 40.753935241),908 2ND AVE,morton williams supermarkets,Yes,Yes,https://www.google.com/maps/search/?api=1&query=MORTON+WILLIAMS+SUPERMARKETS+908+2ND+AVE+NEW+YORK+,40.75393524,-73.96898845,Turtle Bay (MIDTOWN EAST (MIDTOWN))
QUEENS,705492,AC,106 DELI INC,106 DELI,OZONE PARK,11417,POINT (-73.83522283 40.683085108),105-31 LIBERTY AVE,106 deli,No,Yes,https://www.google.com/maps/search/?api=1&query=106+DELI+105-31+LIBERTY+AVE+OZONE+PARK+,40.68308511,-73.83522283,Ozone Park
KINGS,737469,AC,1066 RUTLAND DELI CORP,1066 RUTLAND DELI,BROOKLYN,11212,POINT (-73.924539384 40.663711471),1066 RUTLAND ROAD,1066 rutland deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1066+RUTLAND+DELI+1066+RUTLAND+ROAD+BROOKLYN+,40.66371147,-73.92453938,East Flatbush
KINGS,732307,AC,1068 MINI MART DELI GROCERY CORP,1068 MINI MART DELI GROCERY,BROOKLYN,11222,POINT (-73.95493468 40.735296319),1068 MANHATTAN AVE,1068 mini mart deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=1068+MINI+MART+DELI+GROCERY+1068+MANHATTAN+AVE+BROOKLYN+,40.73529632,-73.95493468,Greenpoint
QUEENS,639657,AC,107 DELI GROCERY CORP,107 DELI GROCERY,RICHMOND HILL,11418,POINT (-73.840277872 40.695521464),107-05 JAMAICA AVE,107 deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=107+DELI+GROCERY+107-05+JAMAICA+AVE+RICHMOND+HILL+,40.69552146,-73.84027787,Richmond Hill 
QUEENS,724220,AC,107 GROCERY DELI CORP,107 GROCERY DELI,CORONA,11368,POINT (-73.861078235 40.754037206),107-01 37TH AVENUE,107 grocery deli,No,Yes,https://www.google.com/maps/search/?api=1&query=107+GROCERY+DELI+107-01+37TH+AVENUE+CORONA+,40.75403721,-73.86107824,Corona
QUEENS,756999,AC,107 MINI MARKET INC,107 MINI MARKET,CORONA,11368,POINT (-73.861295662 40.757974564),107-15 NORTHERN BLVD,107 mini market,No,Yes,https://www.google.com/maps/search/?api=1&query=107+MINI+MARKET+107-15+NORTHERN+BLVD+CORONA+,40.75797456,-73.86129566,East Elmhurst
KINGS,748779,AC,1170 FULTON ST CORP,1170 FULTON ST,BROOKLYN,11216,POINT (-73.954234707 40.680714245),1170 FULTON ST,1170 fulton st,No,Yes,https://www.google.com/maps/search/?api=1&query=1170+FULTON+ST+1170+FULTON+ST+BROOKLYN+,40.68071425,-73.95423471,Bed-Stuy
KINGS,610609,A,11TH AVE FOOD CENTER OF NY INC,11TH AVE FOOD CTR OF NY,BROOKLYN,11219,POINT (-74.002304251 40.631933036),5901 11TH AVE,11th ave food ctr of ny,No,Yes,https://www.google.com/maps/search/?api=1&query=11TH+AVE+FOOD+CTR+OF+NY+5901+11TH+AVE+BROOKLYN+,40.63193304,-74.00230425,Borough Park
NEW YORK,620450,AC,2330 MEAT&PRODUCE CORP,FINE FARE SUPERMARKET,NEW YORK,10035,POINT (-73.93354708 40.798246591),2330 1ST AVE,fine fare supermarket,Yes,Yes,https://www.google.com/maps/search/?api=1&query=FINE+FARE+SUPERMARKET+2330+1ST+AVE+NEW+YORK+,40.79824659,-73.93354708,East Harlem
QUEENS,749998,AC,121 GOURMET DELI INC,121 GOURMET DELI,JAMAICA,11434,POINT (-73.790477465 40.67656864),122-03 SUTPHIN BLVD,121 gourmet deli,Yes,Yes,https://www.google.com/maps/search/?api=1&query=121+GOURMET+DELI+122-03+SUTPHIN+BLVD+JAMAICA+,40.67656864,-73.79047747,South Jamaica (JAMAICA)
KINGS,671850,AC,1223 GRAVESEND NECK ROAD CORP,1223 GRAVESEND NECK RD,BROOKLYN,11229,POINT (-73.957619236 40.594510017),1223 GRAVESEND NECK RD,1223 gravesend neck rd,No,Yes,https://www.google.com/maps/search/?api=1&query=1223+GRAVESEND+NECK+RD+1223+GRAVESEND+NECK+RD+BROOKLYN+,40.59451002,-73.95761924,Sheepshead Bay
NEW YORK,620463,AC,TRIBECA VILLAGE FARM INC,MORGANS MARKET,NEW YORK,10013,POINT (-74.009338512 40.716370652),13 HUDSON ST,morgans market,No,Yes,https://www.google.com/maps/search/?api=1&query=MORGANS+MARKET+13+HUDSON+ST+NEW+YORK+,40.71637065,-74.00933851,Tribeca
KINGS,757704,AC,1077 BROADWAY MINI MARKET CORP,1077 BROADWAY MINI MARKET,BROOKLYN,11221,POINT (-73.930830338 40.694655949),1077 BROADWAY,1077 broadway mini market,No,Yes,https://www.google.com/maps/search/?api=1&query=1077+BROADWAY+MINI+MARKET+1077+BROADWAY+BROOKLYN+,40.69465595,-73.93083034,Bushwick
KINGS,757614,AC,1078 DEMPANADA GROCERY CORP,1078 D'EMPANADA GROCERY,BROOKLYN,11212,POINT (-73.924100424 40.663998635),1078 RUTLAND RD,1078 dempanada grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=1078+D'EMPANADA+GROCERY+1078+RUTLAND+RD+BROOKLYN+,40.66399864,-73.92410042,East Flatbush
QUEENS,736957,AC,108 DELI & GROCERY INC,108 DELI & GROCERY,CORONA,11368,POINT (-73.854584356 40.742271822),53-14 108TH STREET,108 deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=108+DELI+&+GROCERY+53-14+108TH+STREET+CORONA+,40.74227182,-73.85458436,Corona
NEW YORK,620484,AC,GONZALEZ DEWEL,ANABELLE DELI GROCERY,NEW YORK,10029,POINT (-73.94112826 40.792737585),2121 2ND AVE,anabelle deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=ANABELLE+DELI+GROCERY+2121+2ND+AVE+NEW+YORK+,40.79273759,-73.94112826,East Harlem
QUEENS,756521,AC,108 STREET DELI AND GROCERY INC,108 STREET DELI AND GROCERY,CORONA,11368,POINT (-73.860241721 40.754577127),3601 108TH ST,108 street deli and grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=108+STREET+DELI+AND+GROCERY+3601+108TH+ST+CORONA+,40.75457713,-73.86024172,Corona
KINGS,617059,AC,1080 FAMILY MINIMARKET CORP,1080 FAMILY MINI MARKET,BROOKLYN,11225,POINT (-73.950894854 40.661688373),1080 NOSTRAND AVE,1080 family mini market,No,Yes,https://www.google.com/maps/search/?api=1&query=1080+FAMILY+MINI+MARKET+1080+NOSTRAND+AVE+BROOKLYN+,40.66168837,-73.95089485,Flatbush
NEW YORK,620500,ABC,L&M DELICATESSEN CORP,L&M DELICATESSEN,NEW YORK,10011,POINT (-73.999224237 40.739510614),80 7TH AVE (15TH ST),lm delicatessen,No,Yes,https://www.google.com/maps/search/?api=1&query=L&M+DELICATESSEN+80+7TH+AVE+(15TH+ST)+NEW+YORK+,40.73951061,-73.99922424,Chelsea
BRONX,761133,A,1086 BOSTON RD DELI CORP,1086 BOSTON RD DELI,BRONX,10456,POINT (-73.905027823 40.826990148),1086 BOSTON RD,1086 boston rd deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1086+BOSTON+RD+DELI+1086+BOSTON+RD+BRONX+,40.82699015,-73.90502782,Morrisania
BRONX,724807,AC,1086 LUNA DELI GROCERY CORP,1086 LUNA DELI GROCERY,BRONX,10456,POINT (-73.905027823 40.826990148),1086 BOSTON ROAD,1086 luna deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=1086+LUNA+DELI+GROCERY+1086+BOSTON+ROAD+BRONX+,40.82699015,-73.90502782,Morrisania
KINGS,723625,AC,1088 FLATBUSH DELI INC,1088 FLATBUSH DELI,BROOKLYN,11226,POINT (-73.958046294 40.64393085),1088 FLATBUSH AVE,1088 flatbush deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1088+FLATBUSH+DELI+1088+FLATBUSH+AVE+BROOKLYN+,40.64393085,-73.95804629,Flatbush
