County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
KINGS,737855,Store,AC,FRESH FOOD CHOICE CORP,FRESH FOOD CHOICE,2715,MERMAID AVENUE,,,BROOKLYN,NY,11224,2500,POINT (-73.993740293 40.575769968)
NEW YORK,737852,Store,AC,523 DELI & GRILL CORP,523 DELI & GRILL,523,GRAND STREET,,,NEW YORK,NY,10002,2000,POINT (-73.981751489 40.714386194)
KINGS,737843,Store,ABC,CHOCOLATES & MORE INC,CHOCOLATE WISE,106,LEE AVENUE,,,BROOKLYN,NY,11211,1000,POINT (-73.958711038 40.704507996)
KINGS,737841,Store,AC,SAHADIS LLC,SAHADIS,34,35TH STREET,-STE04-1-B12,,BROOKLYN,NY,11232,7000,POINT (-74.007727678 40.657122163)
KINGS,737838,Store,ACH,SPRING GRAB AND GO BAKERY LLC,SPRING GRAB AND GO BAKERY,4801,13TH AVENUE,,,BROOKLYN,NY,11219,900,POINT (-73.991497966 40.635427996)
KINGS,737834,Store,AC,LUISA DELI GROCERY INC,LUISA DELI GROCERY,1858,BATH AVE,,,BROOKLYN,NY,11214,1000,POINT (-74.004445995 40.602839492)
KINGS,737833,Store,AC,UTICA BIG FRUITS & VEGETABLES INC,UTICA BIG FRUITS & VEGETABLES,348,UTICA AVE,,,BROOKLYN,NY,11213,3000,POINT (-73.931466046 40.666071363)
QUEENS,737830,Store,AC,FARMERS FOOD DELI & GRILL INC,FARMERS FOOD DELI & GRILL,114-25,FARMERS BLVD,,,SAINT ALBANS,NY,11412,1500,POINT (-73.761825354 40.697284136)
BRONX,737828,Store,AC,MELROSE DELI AND GROCERY CORP,MELROSE DELI & GROCERY,769,MELROSE AVE,,,BRONX,NY,10451,,POINT (-73.915229521 40.821909039)
KINGS,737827,Store,AC,TAHA DELI & GRILL INC,TAHA DELI & GRILL,8010,FLATLANDS AVE,,,BROOKLYN,NY,11236,1500,POINT (-73.912746969 40.635663779)
QUEENS,737823,Store,AC,CABRERA NIDIA M,SENECA GOURMET DELI GROCERY,1025,SENECA AVE,,,RIDGEWOOD,NY,11385,1200,POINT (-73.900639561 40.698771882)
BRONX,737819,Store,ACK,DHAKA SWEETS LLC,DHAKA SWEETS,1358,WHITE PLAINS RD,,,BRONX,NY,10462,500,POINT (-73.862818318 40.834716126)
